<Fri Nov 20 00:24:08 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:24:16 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:24:17 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:24:26 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:24:53 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:25:58 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:06 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:06 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:16 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:16 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:20 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:24 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:31 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:32 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:35 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:41 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:45 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:46 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:50 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:55 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:26:58 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:01 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:06 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:07 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:16 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:17 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 23 Y: 15 | Ctrl + Comma
<Fri Nov 20 00:27:20 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:44 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:44 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:51 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:27:57 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:28:02 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:28:04 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:28:10 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:28:14 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:28:21 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:30:48 2020> BOUGHT: Antler Amount: 10 for 100 gold. | @Pyung Shop (359)
<Fri Nov 20 00:36:58 2020> PICKED UP: 1 Maxcaliber | @Gruff Smith (1125) | X: 4 Y: 7 | Comma
<Fri Nov 20 00:41:31 2020> Gained 6 from Squirrel | @Mythic Nexus (41)
<Fri Nov 20 00:42:19 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:23 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:25 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:30 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:35 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:40 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:42 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:45 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:49 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:53 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:55 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:59 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:42:59 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:43:03 2020> Gained 7,350 from Plain monkey | @Monkey Curl 1 (160)
